Respondent ID,Collector_ID,Start_Date,End_Date,IP_Address,Age,Gender,Nationality,uni_student,climate_change_course,climate_change_course2,Vegetarian,vegetarian_2,meat_frequency,meat_frequency2,family_veg,reason_no_meat,less_meat,reduced_carbon_footprint,cycling,monitor_footprint,reduce_flying,renewable_utilities,no_fossil_fuel,single_use_packaging,food_waste,source_own_food,additional,encouraged_others
12139739691,395745032,11/05/2020 03:20,11/05/2020 03:22,148.252.128.78,45+,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,Switched to cycling over driving/public transport,,,,,,Reduced your food waste,,,No
12138894699,395745032,11/04/2020 20:57,11/04/2020 20:58,81.156.194.157,31-35,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,No,No,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12137239202,395745032,11/04/2020 11:56,11/04/2020 11:58,92.40.176.240,21-25,Male,Europe,Yes,Yes,1,Yes,1,4-6 days a week,0.8,No,Not applicable,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,,,Divested from fossil fuel investments,Reduced your single use packaging,,,,Yes
12137066573,395745032,11/04/2020 10:40,11/04/2020 10:41,37.228.214.212,41-45,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12135754597,395745032,11/03/2020 22:41,11/03/2020 22:42,120.18.76.207,31-35,Male,Oceania,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,,No
12135708416,395745032,11/03/2020 22:23,11/03/2020 22:25,88.103.237.43,36-40,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,,,Reduced your flying (intentionally rather than due to Covid),,,Reduced your single use packaging,Reduced your food waste,,Not listed,No
12135548078,395745032,11/03/2020 21:26,11/03/2020 21:27,79.79.240.25,26-30,Female,Europe,Yes,Yes,1,Yes,1,1-3 days a week,0.4,No,Cost,No,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12135485312,395745032,11/03/2020 21:03,11/03/2020 21:04,93.115.192.132,41-45,Female,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12135399947,395745032,11/03/2020 20:34,11/03/2020 20:36,86.172.224.207,26-30,Female,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,Not listed,No
12135354271,395745032,11/03/2020 20:18,11/03/2020 20:21,176.185.146.61,31-35,Female,Asia,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,,Not listed,Yes
12135091592,395745032,11/03/2020 18:53,11/03/2020 18:54,86.146.165.121,36-40,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,Yes,Health,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12134891746,395745032,11/03/2020 17:50,11/03/2020 17:52,64.138.249.167,45+,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,,,,Not listed,Yes
12134827117,395745032,11/03/2020 17:31,11/03/2020 17:32,82.12.128.5,26-30,Male,North America,Yes,Yes,1,No,0,None,0,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),,,,,,Not listed,Yes
12134566594,395745032,11/03/2020 16:16,11/03/2020 16:18,83.45.238.161,45+,Female,Europe,No,No,0,No,0,None,0,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,,Yes
12134560277,395745032,11/03/2020 16:14,11/03/2020 16:16,77.167.130.214,45+,Male,Europe,No,Yes,1,No,0,,0,No,Environmental/Climate Change,Yes,Yes,,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,Not listed,Yes
